Gene stable ID,Gene Synonym,Gene name
ENSG00000210049,MTTF,MT-TF
ENSG00000210049,TRNF,MT-TF
ENSG00000211459,12S,MT-RNR1
ENSG00000211459,MOTS-C,MT-RNR1
ENSG00000211459,MTRNR1,MT-RNR1
ENSG00000210077,MTTV,MT-TV
ENSG00000210077,TRNV,MT-TV
ENSG00000210082,16S,MT-RNR2
ENSG00000210082,HN,MT-RNR2
ENSG00000210082,MTRNR2,MT-RNR2
ENSG00000209082,MTTL1,MT-TL1
ENSG00000209082,TRNL1,MT-TL1
ENSG00000198888,MTND1,MT-ND1
ENSG00000198888,NAD1,MT-ND1
ENSG00000198888,ND1,MT-ND1
ENSG00000210100,MTTI,MT-TI
ENSG00000210100,TRNI,MT-TI
ENSG00000210107,MTTQ,MT-TQ
ENSG00000210107,TRNQ,MT-TQ
ENSG00000210112,MTTM,MT-TM
ENSG00000210112,TRNM,MT-TM
ENSG00000198763,MTND2,MT-ND2
ENSG00000198763,NAD2,MT-ND2
ENSG00000198763,ND2,MT-ND2
ENSG00000210117,MTTW,MT-TW
ENSG00000210117,TRNW,MT-TW
ENSG00000210127,MTTA,MT-TA
ENSG00000210127,TRNA,MT-TA
ENSG00000210135,MTTN,MT-TN
ENSG00000210135,TRNN,MT-TN
ENSG00000210140,MTTC,MT-TC
ENSG00000210140,TRNC,MT-TC
ENSG00000210144,MTTY,MT-TY
ENSG00000210144,TRNY,MT-TY
ENSG00000198804,COI,MT-CO1
ENSG00000198804,COX1,MT-CO1
ENSG00000198804,MTCO1,MT-CO1
ENSG00000210151,MTTS1,MT-TS1
ENSG00000210151,TRNS1,MT-TS1
ENSG00000210154,MTTD,MT-TD
ENSG00000210154,TRND,MT-TD
ENSG00000198712,CO2,MT-CO2
ENSG00000198712,COX2,MT-CO2
ENSG00000198712,MTCO2,MT-CO2
ENSG00000210156,MERRF,MT-TK
ENSG00000210156,MTTK,MT-TK
ENSG00000210156,TRNK,MT-TK
ENSG00000228253,A6L,MT-ATP8
ENSG00000228253,ATP8,MT-ATP8
ENSG00000228253,MTATP8,MT-ATP8
ENSG00000228253,URFA6L,MT-ATP8
ENSG00000198899,ATP6,MT-ATP6
ENSG00000198899,ATPASE-6,MT-ATP6
ENSG00000198899,MTATP6,MT-ATP6
ENSG00000198899,RP,MT-ATP6
ENSG00000198899,SU6M,MT-ATP6
ENSG00000198938,CO3,MT-CO3
ENSG00000198938,COIII,MT-CO3
ENSG00000198938,COX3,MT-CO3
ENSG00000198938,MTCO3,MT-CO3
ENSG00000210164,MTTG,MT-TG
ENSG00000210164,TRNG,MT-TG
ENSG00000198840,MTND3,MT-ND3
ENSG00000198840,NAD3,MT-ND3
ENSG00000198840,ND3,MT-ND3
ENSG00000210174,MTTR,MT-TR
ENSG00000210174,TRNR,MT-TR
ENSG00000212907,MTND4L,MT-ND4L
ENSG00000212907,NAD4L,MT-ND4L
ENSG00000212907,ND4L,MT-ND4L
ENSG00000198886,LHON,MT-ND4
ENSG00000198886,MTND4,MT-ND4
ENSG00000198886,NAD4,MT-ND4
ENSG00000198886,ND4,MT-ND4
ENSG00000210176,MTTH,MT-TH
ENSG00000210176,TRNH,MT-TH
ENSG00000210184,MTTS2,MT-TS2
ENSG00000210184,RP8,MT-TS2
ENSG00000210184,TRNS2,MT-TS2
ENSG00000210191,MTTL2,MT-TL2
ENSG00000210191,TRNL2,MT-TL2
ENSG00000198786,MTND5,MT-ND5
ENSG00000198786,NAD5,MT-ND5
ENSG00000198786,ND5,MT-ND5
ENSG00000198695,MTND6,MT-ND6
ENSG00000198695,NAD6,MT-ND6
ENSG00000198695,ND6,MT-ND6
ENSG00000210194,MTTE,MT-TE
ENSG00000210194,TRNE,MT-TE
ENSG00000198727,COB,MT-CYB
ENSG00000198727,CYTB,MT-CYB
ENSG00000198727,MTCYB,MT-CYB
ENSG00000198727,UQCR3,MT-CYB
ENSG00000210195,LIMM,MT-TT
ENSG00000210195,MTTT,MT-TT
ENSG00000210195,TRNT,MT-TT
ENSG00000210196,MTTP,MT-TP
ENSG00000210196,TRNP,MT-TP
ENSG00000299200,,
ENSG00000308964,,
ENSG00000278457,,5S_rRNA
ENSG00000271254,,
ENSG00000276197,,
ENSG00000278573,,
ENSG00000278704,,
ENSG00000309338,,
ENSG00000309357,,
ENSG00000297432,,
ENSG00000297449,,
ENSG00000299314,,
ENSG00000295063,,
ENSG00000303867,,
ENSG00000309229,,
ENSG00000278294,,5_8S_rRNA
ENSG00000274917,,RNA5-8SN5
ENSG00000307034,,
ENSG00000310277,,
ENSG00000273730,,5_8S_rRNA
ENSG00000273937,,
ENSG00000277196,,
ENSG00000308580,,
ENSG00000296546,,
ENSG00000303173,,
ENSG00000296902,,
ENSG00000297619,,
ENSG00000296713,,
ENSG00000305511,,
ENSG00000305525,,
ENSG00000278625,,U6
ENSG00000294644,,
ENSG00000306721,,
ENSG00000300051,,
ENSG00000303750,,
ENSG00000278817,,
ENSG00000276017,,
ENSG00000297072,,
ENSG00000300074,,
ENSG00000300093,,
ENSG00000301131,,
ENSG00000300846,,
ENSG00000307470,,
ENSG00000303733,,
ENSG00000305236,,
ENSG00000309233,,
ENSG00000303902,,
ENSG00000302039,,
ENSG00000297844,,
ENSG00000277630,,
ENSG00000295160,,
ENSG00000300815,,
ENSG00000306528,,
ENSG00000304057,,
ENSG00000296348,,
ENSG00000277428,,Y_RNA
ENSG00000307824,,
ENSG00000276256,,
ENSG00000295668,,
ENSG00000304745,,
ENSG00000303853,,
ENSG00000303221,,
ENSG00000306744,,
ENSG00000306767,,
ENSG00000308844,,
ENSG00000278793,,U6
ENSG00000298861,,
ENSG00000308643,,
ENSG00000303875,,
ENSG00000303892,,
ENSG00000303912,,
ENSG00000308185,,
ENSG00000277374,,U1
ENSG00000303573,,
ENSG00000309296,,
ENSG00000307722,,
ENSG00000274202,,U2
ENSG00000310401,,
ENSG00000309793,,
ENSG00000304792,,
ENSG00000304816,,
ENSG00000309831,,
ENSG00000309258,,
ENSG00000304845,,
ENSG00000275987,,U1
ENSG00000268674,,
ENSG00000277475,,
ENSG00000275405,,U1
ENSG00000298139,,
ENSG00000301573,,
ENSG00000301587,,
ENSG00000298153,,
ENSG00000298169,,
ENSG00000298181,,
ENSG00000273748,,
ENSG00000296581,,
ENSG00000297972,,
ENSG00000293919,,
ENSG00000296598,,
ENSG00000300519,,
ENSG00000278633,,
ENSG00000278066,,
ENSG00000296618,,
ENSG00000276711,,U2
ENSG00000295378,,
ENSG00000302961,,
ENSG00000304422,,
ENSG00000275661,,
ENSG00000276351,,
ENSG00000276345,,
ENSG00000273532,,
ENSG00000294171,,
ENSG00000297558,,
ENSG00000298095,,
ENSG00000296634,,
ENSG00000303588,,
ENSG00000293939,,
ENSG00000294191,,
ENSG00000308966,,
ENSG00000293969,,
ENSG00000309079,,
